,N,Mean,Std,Min,P25,Median,P75,Max
corsi_total,561067,2.844,1.729,1.0,2.0,2.0,4.0,20.0
corsi_pre_split,561067,1.387,1.231,0.0,1.0,1.0,2.0,13.0
corsi_post_split,561067,1.342,1.254,0.0,0.0,1.0,2.0,15.0
sog_total,561067,1.503,1.25,0.0,1.0,1.0,2.0,13.0
goals_5v5,561067,0.121,0.352,0.0,0.0,0.0,0.0,4.0
goals_in_game,561067,0.125,0.357,0.0,0.0,0.0,0.0,4.0
first_goal_time,65540,1770.08,1023.847,0.0,893.0,1751.0,2640.0,4800.0
time_after_split,561067,1842.077,351.575,0.0,1813.0,1852.0,1875.0,3600.0
time_before_split,561067,1757.923,351.575,0.0,1725.0,1748.0,1787.0,3600.0
xg_per_shot_total,511106,0.086,0.069,0.0,0.034,0.069,0.119,0.778
xg_total,561067,0.186,0.205,0.0,0.04,0.118,0.266,3.181
career_games_pre,561067,397.797,312.683,0.0,138.0,334.0,594.0,1823.0
career_season_num,561067,6.934,4.134,1.0,4.0,6.0,10.0,24.0
scored_first_goal,561067,0.117,0.321,0.0,0.0,0.0,0.0,1.0
scored_prev_team_game,524124,0.159,0.366,0.0,0.0,0.0,0.0,1.0
games_missed,556592,0.517,8.257,0.0,0.0,0.0,0.0,1579.0
