,N,Mean,Std,Min,P25,Median,P75,Max
corsi_total,557355,2.845,1.728,1.0,2.0,2.0,4.0,20.0
corsi_pre_split,557355,1.381,1.226,0.0,1.0,1.0,2.0,13.0
corsi_post_split,557355,1.351,1.253,0.0,0.0,1.0,2.0,15.0
sog_total,557355,1.502,1.249,0.0,1.0,1.0,2.0,13.0
goals_5v5,557355,0.12,0.35,0.0,0.0,0.0,0.0,4.0
goals_in_game,557355,0.122,0.354,0.0,0.0,0.0,0.0,4.0
first_goal_time,63324,1711.505,990.492,0.0,862.0,1695.0,2545.0,3599.0
time_after_split,557355,1848.769,335.945,1.0,1813.0,1852.0,1875.0,3600.0
time_before_split,557355,1751.231,335.945,0.0,1725.0,1748.0,1787.0,3599.0
toi_5v5_total,557355,821.117,206.109,62.0,683.0,815.0,955.0,1819.0
toi_5v5_pre,557355,406.706,133.665,0.0,323.0,402.0,485.0,1532.0
toi_5v5_post,557355,414.411,148.161,0.5,322.0,412.0,504.0,1512.0
xg_per_shot_total,507730,0.086,0.069,0.0,0.034,0.069,0.118,0.778
xg_total,557355,0.186,0.205,0.0,0.04,0.118,0.265,3.181
career_games_pre,557355,397.666,312.639,0.0,138.0,334.0,594.0,1823.0
career_season_num,557355,6.933,4.134,1.0,4.0,6.0,10.0,24.0
scored_first_goal,557355,0.114,0.317,0.0,0.0,0.0,0.0,1.0
scored_prev_team_game,520626,0.159,0.366,0.0,0.0,0.0,0.0,1.0
games_missed,552901,0.517,8.279,0.0,0.0,0.0,0.0,1579.0
